temperature_c,relative_humidity_pct,surface_pressure_hpa,wind_speed_ms,wind_direction_deg,rainfall_mm_h,cape_j_kg,cin_j_kg,lifted_index_c,precipitable_water_mm,wind_shear_0_6km_kts,k_index,total_totals_index,timestamp_utc
28.4,88.0,1004.4,3.1666667,204.0,0.0,1463.7715,-63.2,-1.7528255,64.0,14.966667,40.22222,44.494446,2024-05-01T00:00:00Z
28.85,86.5,1004.45,3.2222223,202.75,0.0,1515.7144,-62.3,-1.8682542,64.225,15.088889,40.27222,44.514816,2024-05-01T00:15:00Z
29.3,85.0,1004.5,3.277778,201.5,0.0,1567.6572,-61.4,-1.9836828,64.45,15.211111,40.32222,44.535187,2024-05-01T00:30:00Z
29.75,83.5,1004.55,3.3333335,200.25,0.0,1619.6001,-60.5,-2.0991113,64.675,15.333334,40.372223,44.555557,2024-05-01T00:45:00Z
30.2,82.0,1004.6,3.388889,199.0,0.0,1671.543,-59.6,-2.21454,64.9,15.455556,40.422222,44.575928,2024-05-01T01:00:00Z
30.625,79.75,1004.77496,3.6458335,198.75,0.0,1700.8143,-58.75,-2.2795875,64.8625,16.020834,40.413887,44.67014,2024-05-01T01:15:00Z
31.05,77.5,1004.94995,3.9027781,198.5,0.0,1730.0857,-57.9,-2.344635,64.825,16.586111,40.405556,44.76435,2024-05-01T01:30:00Z
31.475,75.25,1005.125,4.1597223,198.25,0.0,1759.3572,-57.05,-2.4096825,64.7875,17.15139,40.397224,44.858566,2024-05-01T01:45:00Z
31.9,73.0,1005.3,4.416667,198.0,0.0,1788.6285,-56.2,-2.47473,64.75,17.716667,40.38889,44.952778,2024-05-01T02:00:00Z
32.425,70.0,1005.4,4.5347223,199.25,0.0,1518.9714,-64.65,-1.2310475,64.6375,17.97639,40.36389,44.996063,2024-05-01T02:15:00Z
32.95,67.0,1005.5,4.652778,200.5,0.0,1249.3142,-73.1,0.012634993,64.525,18.236113,40.33889,45.039352,2024-05-01T02:30:00Z
33.475,64.0,1005.6,4.770834,201.75,0.0,979.6571,-81.55,1.2563175,64.412506,18.495834,40.31389,45.08264,2024-05-01T02:45:00Z
34.0,61.0,1005.7,4.8888893,203.0,0.0,710.0,-90.0,2.5,64.3,18.755558,40.28889,45.125927,2024-05-01T03:00:00Z
34.575,58.25,1005.575,4.9097223,203.5,0.0,718.625,-90.0,2.5,64.3375,18.801392,40.297222,45.133568,2024-05-01T03:15:00Z
35.15,55.5,1005.45,4.930556,204.0,0.0,727.25,-90.0,2.5,64.375,18.847223,40.305557,45.141205,2024-05-01T03:30:00Z
35.725,52.75,1005.325,4.9513893,204.5,0.0,735.875,-90.0,2.5,64.4125,18.893055,40.31389,45.14884,2024-05-01T03:45:00Z
36.3,50.0,1005.2,4.9722223,205.0,0.0,744.5,-90.0,2.5,64.45,18.938889,40.32222,45.156483,2024-05-01T04:00:00Z
36.775,48.0,1005.0,4.75,205.0,0.0,751.625,-90.0,2.5,64.5625,18.45,40.34722,45.075,2024-05-01T04:15:00Z
37.25,46.0,1004.80005,4.5277777,205.0,0.0,758.75,-90.0,2.5,64.675,17.961111,40.372223,44.99352,2024-05-01T04:30:00Z
37.725,44.0,1004.60004,4.305556,205.0,0.0,765.875,-90.0,2.5,64.7875,17.472221,40.39722,44.912037,2024-05-01T04:45:00Z
38.2,42.0,1004.4,4.0833335,205.0,0.0,773.0,-90.0,2.5,64.9,16.983334,40.422222,44.830555,2024-05-01T05:00:00Z
38.5,41.0,1004.25,3.916667,199.5,0.0,777.5,-90.0,2.5,65.05,16.616667,40.455555,44.769444,2024-05-01T05:15:00Z
38.800003,40.0,1004.1,3.7500002,194.0,0.0,782.0,-90.0,2.5,65.2,16.25,40.48889,44.708336,2024-05-01T05:30:00Z
39.100002,39.0,1003.95,3.5833335,188.5,0.0,786.5,-90.0,2.5,65.35,15.883334,40.522224,44.647224,2024-05-01T05:45:00Z
